Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 29 2020,Jefferson,CO,Passenger,0,1,1,64,65,1.54
February 29 2020,Kitsap,WA,Truck,1,0,1,54419,54420,0
February 29 2020,Loudoun,VA,Passenger,1,0,1,88,89,1.12
October 31 2020,Charles,MD,Passenger,1,1,2,75,77,2.6
October 31 2020,Charleston,SC,Passenger,2,0,2,91,93,2.15
October 31 2020,Chelan,WA,Passenger,265,82,347,54386,54733,0.63
October 31 2020,Clallam,WA,Passenger,252,174,426,49904,50330,0.85
October 31 2020,Clark,NV,Passenger,3,3,6,647,653,0.92
October 31 2020,Denton,TX,Passenger,1,0,1,79,80,1.25
October 31 2020,Duval,FL,Passenger,0,2,2,344,346,0.58
October 31 2020,Fairfax,VA,Passenger,4,3,7,714,721,0.97
October 31 2020,Grant,WA,Truck,0,0,0,27394,27394,0
March 31 2020,Pierce,WA,Passenger,2311,1694,4005,551350,555355,0.72
March 31 2020,Portsmouth,VA,Passenger,0,1,1,71,72,1.39
March 31 2020,Saginaw,MI,Passenger,1,0,1,11,12,8.33
March 31 2020,San Juan,WA,Truck,0,0,0,5936,5936,0
March 31 2020,Skagit,WA,Passenger,391,216,607,92173,92780,0.65
May 31 2020,Suffolk,VA,Passenger,1,0,1,116,117,0.85
May 31 2020,Ventura,CA,Passenger,1,2,3,293,296,1.01
May 31 2020,Virginia Beach,VA,Passenger,1,0,1,665,666,0.15
May 31 2020,Yakima,WA,Passenger,131,117,248,165053,165301,0.15
June 30 2020,Adams,WA,Passenger,9,7,16,12786,12802,0.12
April 30 2020,Clark,WA,Passenger,1992,1057,3049,318796,321845,0.95
April 30 2020,Clark,WA,Truck,0,0,0,81839,81839,0
April 30 2020,Cochise,AZ,Passenger,0,1,1,106,107,0.93
April 30 2020,Cumberland,NC,Passenger,0,2,2,476,478,0.42
April 30 2020,District of Columbia,DC,Passenger,1,2,3,197,200,1.5
April 30 2020,Douglas,NE,Passenger,0,1,1,57,58,1.72
April 30 2020,Fresno,CA,Passenger,1,0,1,183,184,0.54
April 30 2020,Fulton,GA,Passenger,1,2,3,99,102,2.94
April 30 2020,Goochland,VA,Passenger,2,1,3,241,244,1.23
April 30 2020,Grays Harbor,WA,Passenger,106,110,216,48073,48289,0.45
April 30 2020,Grays Harbor,WA,Truck,0,0,0,20727,20727,0
April 30 2020,Greene,MO,Passenger,0,1,1,31,32,3.12
April 30 2020,King,WA,Passenger,24096,7687,31783,1386385,1418168,2.24
April 30 2020,Lincoln,WA,Truck,0,0,0,4626,4626,0
