Date,Cattle,Steers,Heifers,,Beef cows,Dairy cows,Bulls and stags,Calves,Hogs,Barrows and gilts,Sows,Boars and stags,Sheep and lambs,Lambs and yearlings,,Mature sheep,Cattle,Steers,Heifers,Beef cows,Dairy cows,Bulls and stags,Calves,Hogs,Barrows and gilts,Sows,Boars and stags,Sheep and lambs,Lambs and yearlings,Mature sheep,Broilers,Other chickens,Turkeys
4/23/2023,"2,543.80","1,169.60",815.8,,266.6,248.6,43.3,21.9,"9,770.40","9,517.70",228.9,23.8,185.9,174.2,,11.7,"2,493.10","1,146.40",799.5,261.3,243.6,42.4,21.4,"9,724.20","9,472.70",227.8,23.7,156.9,147,9.9,"723,907.00","9,147.00","16,367.00"
3/23/2023,"2,938.70","1,329.50",960.8,,290.6,312.1,45.7,26.2,"11,464.50","11,159.80",275.3,29.4,198.7,187.8,,10.9,"2,883.60","1,304.50",942.8,285.2,306.2,44.8,25.5,"11,414.70","11,111.20",274.1,29.3,179.1,169.2,9.8,"816,086.00","10,510.00","18,914.00"
2/23/2023,"2,548.30","1,183.10",788.3,,271.4,271.6,33.8,25.7,"9,974.30","9,708.90",241,24.4,154.8,146.6,,8.2,"2,500.40","1,160.90",773.5,266.3,266.5,33.2,25.1,"9,930.70","9,666.50",239.9,24.3,138.3,131,7.3,"731,001.00","8,996.00","15,975.00"
1/23/2023,"2,826.80","1,295.60",864.6,,324.2,303.7,38.6,30.6,"11,130.30","10,838.70",268.1,23.5,162.8,152,,10.8,"2,772.60","1,270.90",848,318,297.9,37.9,30,"11,079.60","10,789.30",266.9,23.4,144.3,134.6,9.6,"804,096.00","9,633.00","17,068.00"
12/22/2023,"2,684.70","1,216.00",828.4,,327.4,271,41.9,32.9,"10,299.00","10,026.20",251.4,21.4,178.5,167.3,,11.2,"2,638.10","1,194.90",814,321.7,266.3,41.2,32.4,"10,246.50","9,975.00",250.1,21.3,154.4,144.7,9.7,"776,509.00","9,566.00","16,154.00"
11/22/2023,"2,904.90","1,310.30",942.1,,349.8,255.3,47.3,31.2,"10,914.00","10,639.60",252.4,22,181.1,170.9,,10.2,"2,854.80","1,287.80",925.9,343.8,250.9,46.5,30.7,"10,862.70","10,589.60",251.2,21.9,155.6,146.8,8.8,"793,686.00","9,169.00","17,794.00"
10/22/2023,"2,902.90","1,320.70",914.6,,357.6,258.2,51.9,30.3,"10,919.40","10,627.00",267.7,24.6,170,158.8,,11.2,"2,842.40","1,293.20",895.5,350.1,252.8,50.8,29.7,"10,857.30","10,566.60",266.2,24.5,142.5,133.1,9.4,"809,866.00","9,458.00","19,420.00"
9/22/2023,"2,897.80","1,383.30",878.5,,317,265.8,53.2,31.4,"10,659.00","10,372.60",260.3,26.1,171.9,161,,10.9,"2,839.60","1,355.60",860.9,310.6,260.5,52.1,30.9,"10,597.20","10,312.50",258.8,25.9,146.8,137.5,9.3,"806,793.00","10,066.00","17,188.00"
8/22/2023,"3,076.10","1,489.20",922.1,,341.1,271.1,52.5,34,"10,989.60","10,688.60",275.2,25.9,182.4,170.8,,11.6,"3,018.90","1,461.40",905,334.8,266.1,51.5,33.3,"10,922.20","10,623.00",273.5,25.7,155.3,145.4,9.9,"862,696.00","10,578.00","18,334.00"
7/22/2023,"2,779.60","1,322.40",842.4,,333.1,234.2,47.5,29.5,"9,318.30","9,053.20",239,26.1,163.8,152.2,,11.6,"2,731.20","1,299.40",827.7,327.3,230.1,46.7,28.9,"9,263.70","9,000.20",237.6,25.9,132.9,123.6,9.4,"758,278.00","8,993.00","16,040.00"
6/22/2023,"3,044.70","1,486.10",909,,359.3,237.7,52.6,29.1,"10,505.40","10,209.10",269,27.3,174.2,163.7,,10.5,"2,984.80","1,456.80",891.1,352.2,233,51.6,28.6,"10,450.60","10,155.80",267.6,27.2,147.4,138.4,8.9,"809,283.00","10,776.00","18,249.00"
